province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status,reviewer_notes
ชัยภูมิ,2,5_18,constituency,46,จัตุรัส,ละหาน,1,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,4,361,226,217,6,3,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,46,จัตุรัส,ละหาน,2,นางสาววาสนา อยู่ภักดี,ประชาชน,30,361,226,217,6,3,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,46,จัตุรัส,ละหาน,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,168,361,226,217,6,3,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,46,จัตุรัส,ละหาน,4,นายณรงค์ แขนอก,ประชาธิปัตย์,2,361,226,217,6,3,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,46,จัตุรัส,ละหาน,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,9,361,226,217,6,3,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,46,จัตุรัส,ละหาน,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,2,361,226,217,6,3,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,46,จัตุรัส,ละหาน,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,2,361,226,217,6,3,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,67,จัตุรัส,ส้มป่อย,1,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,2,319,183,173,7,3,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,67,จัตุรัส,ส้มป่อย,2,นางสาววาสนา อยู่ภักดี,ประชาชน,21,319,183,173,7,3,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,67,จัตุรัส,ส้มป่อย,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,140,319,183,173,7,3,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
