row_index,priority,form_type,vote_type,polling_station_no,choice_no,choice_name,party_name,votes,source_pdf,source_page,choice_in_master,has_missing_votes,classification,recommended_action
633,P1,5_18,constituency,150.0,7,pccd R r ELNAU/SERI/ENLG ซ FD,n my jiet,0.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,17,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
638,P1,5_18,constituency,151.0,50,"roru A ""LAUUITER/ENLW",aV,2.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,19,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
699,P1,5_18,constituency,162.0,9,นายประเสริฐศักดิ์ ขำหินตั้ง นางสาววาสนา อยู่ภักดี ซ a,ไทยก้าวใหม่ ไทยก้าวใหม่ ประชาชน ประชาชน,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ชีบน-แบ่งเขต_บัญชีรายชื่อ.pdf,17,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
1114,P1,5_18,constituency,228.0,9,นายประเสริฐศักดิ์ ขำหินตั้ง,ไทยก้าวใหม่ ไทยก้าวใหม่ V,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,11,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
5997,P1,5_18_partylist,party_list,208.0,94,IraRdg,WUG,4.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,85,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
6066,P1,5_18_partylist,party_list,211.0,94,ge,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,97,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
6176,P1,5_18_partylist,party_list,216.0,63,,ใหม่ ใหม่ มิติใหม่ มิติใหม่ D,19.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,114,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
6311,P1,5_18_partylist,party_list,222.0,84,UA UaJg,CUUEUNANGTEAยRMBOURD (IUAEUNNSTEAPUCMBOURD,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,138,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
6471,P1,5_18_partylist,party_list,230.0,63,,ใหม่ ใหม่ มิติใหม่ มิติใหม่ C,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,173,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
1378,P1,5_18,constituency,271.0,63,นายเซิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย O,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ลุ่มลำชี แบ่งเขต.PDF,33,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
1535,P1,5_18,constituency,295.0,11,U,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/กะฮาด-001-แบ่งเขต.PDF,16,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
1626,P1,5_18,constituency,308.0,25,เพื่อชีวิตใหม่ คลองไทย,O,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,22,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
1627,P1,5_18,constituency,308.0,26,คลองไทย ประชาธิปัตย์,O,1.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,22,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
1634,P1,5_18,constituency,309.0,48,ไทยกาวใหม่,- = −=,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,23,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
1635,P1,5_18,constituency,309.0,49,ไทยกาวใหม่,- = −=,4.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,23,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
1651,P1,5_18,constituency,310.0,22,นางสาววาสนา อยู่ภักดี นายเชิงชาย ซาลีรินทร์ นายเซิงชาย ซาลีรินทร์ oC,ประชาชน ประชาชน เพื่อไทย เพื่อไทย,1.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,25,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
8388,P1,5_18_partylist,party_list,302.0,66,,สรางอนาคตไทย สรางอนาคตไทย ประชาชาติ ประชาชาติ U,99.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-บัญชีรายชื่อ.PDF,10,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
8497,P1,5_18_partylist,party_list,306.0,66,,สรางอนาคตไทย ประชาชาติ a O,1.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-บัญชีรายชื่อ.PDF,26,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
8888,P1,5_18_partylist,party_list,320.0,63,,ใหม่ มิติใหม่ %,28.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-บัญชีรายชื่อ.PDF,53,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
