province,zone,form_type,voting_type,station_id,station_name,candidate_no,candidate_name,party,votes,total_ballots,invalid_ballots,no_vote_ballots
ชัยภูมิ,2,518,election_day,12,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,,,,
ชัยภูมิ,2,518,election_day,12,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,12,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,68,,,
ชัยภูมิ,2,518,election_day,13,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,0,,,
ชัยภูมิ,2,518,election_day,13,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,44,,,
ชัยภูมิ,2,518,election_day,13,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,44,,,
ชัยภูมิ,2,518,election_day,13,กุดน้ำใส จัตุรัส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,,,,
ชัยภูมิ,2,518,election_day,13,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,14,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,6,,,
ชัยภูมิ,2,518,election_day,14,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,6,,,
ชัยภูมิ,2,518,election_day,14,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,14,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,0,,,
ชัยภูมิ,2,518,election_day,15,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,0,,,
ชัยภูมิ,2,518,election_day,15,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,15,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,1,,,
ชัยภูมิ,2,518,election_day,15,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,1,,,
ชัยภูมิ,2,518,election_day,15,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,4,,,
ชัยภูมิ,2,518,election_day,16,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,16,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,,,,
ชัยภูมิ,2,518,election_day,16,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,16,กุดน้ำใส จัตุรัส,7,นางสาววาสนา อยู่ภักดี นายเซิงซาย ชาลีรินทร์,ประชาชน เพื่อไทย,0,,,
ชัยภูมิ,2,518,election_day,16,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,17,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,,,,
ชัยภูมิ,2,518,election_day,17,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,49,,,
ชัยภูมิ,2,518,election_day,17,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,,,,
ชัยภูมิ,2,518,election_day,17,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,17,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,8,,,
ชัยภูมิ,2,518,election_day,18,บ้านกอก จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,18,บ้านกอก จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,,,,
ชัยภูมิ,2,518,election_day,18,บ้านกอก จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,19,บ้านกอก จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,325,,,
ชัยภูมิ,2,518,election_day,19,บ้านกอก จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,3,,,
ชัยภูมิ,2,518,election_day,20,บ้านกอก จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,20,บ้านกอก จัตุรัส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,,,,
ชัยภูมิ,2,518,election_day,20,บ้านกอก จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,21,บ้านกอก จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,21,บ้านกอก จัตุรัส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,,,,
ชัยภูมิ,2,518,election_day,22,บ้านกอก จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,22,บ้านกอก จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,23,บ้านกอก จัตุรัส,1,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,,,,
ชัยภูมิ,2,518,election_day,23,บ้านกอก จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,2,,,
ชัยภูมิ,2,518,election_day,23,บ้านกอก จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,6,,,
ชัยภูมิ,2,518,election_day,24,บ้านกอก จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,25,บ้านกอก จัตุรัส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,16,,,
ชัยภูมิ,2,518,election_day,25,บ้านกอก จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,16,,,
ชัยภูมิ,2,518,election_day,26,บ้านกอก จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,27,บ้านกอก จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,26,,,
ชัยภูมิ,2,518,election_day,27,บ้านกอก จัตุรัส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,,,,
ชัยภูมิ,2,518,election_day,27,บ้านกอก จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,2,,,
ชัยภูมิ,2,518,election_day,28,บ้านกอก จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,5,,,
ชัยภูมิ,2,518,election_day,28,บ้านกอก จัตุรัส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,,,,
ชัยภูมิ,2,518,election_day,28,บ้านกอก จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,3,,,
ชัยภูมิ,2,518,election_day,29,บ้านกอก จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,30,บ้านกอก จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,31,บ้านกอก จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,6,,,
ชัยภูมิ,2,518,election_day,31,บ้านกอก จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,9,,,
ชัยภูมิ,2,518,election_day,31,บ้านกอก จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
