province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status,turnout_rate,invalid_rate,no_vote_rate
ชัยภูมิ,2,5_17_partylist,party_list,,,,32,,oro,4.0,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,10,paddleocr,0.6889,ok,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,34,,r,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,10,paddleocr,0.6889,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,57,,usogunsn,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,11,paddleocr,0.6359,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,8,,...=,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,13,paddleocr,0.7593,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,5,,.***,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,15,paddleocr,0.7338,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,57,,.*** **---,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,15,paddleocr,0.7338,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,6,,s,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,17,paddleocr,0.7921,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,7,,s s,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,17,paddleocr,0.7921,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,8,,s,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,17,paddleocr,0.7921,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,9,,สาม,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,17,paddleocr,0.7921,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,10,,สาม,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,17,paddleocr,0.7921,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,27,,d,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,18,paddleocr,0.6939,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,28,,ไทยก้าวหน้า L d,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,18,paddleocr,0.6939,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,29,,ไทยภักดี ..$ L,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,18,paddleocr,0.6939,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,31,,ประชากรไทย ครูไทยเพื่อประชาชน,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,18,paddleocr,0.6939,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,32,,ครูไทยเพื่อประชาชน,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,18,paddleocr,0.6939,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,34,,สรางอนาคตไทย d,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,18,paddleocr,0.6939,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,53,,$,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,19,paddleocr,0.6798,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,54,,$,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,19,paddleocr,0.6798,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,27,,d..,0.0,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,22,paddleocr,0.6409,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,28,,d.. p,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,22,paddleocr,0.6409,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,29,,p C,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,22,paddleocr,0.6409,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,3,,C,45.0,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,22,paddleocr,0.6409,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,32,,e,8.0,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,22,paddleocr,0.6409,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,34,,C,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,22,paddleocr,0.6409,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,28,,-ous,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,26,paddleocr,0.6822,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,31,,yes,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,26,paddleocr,0.6822,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,2,,yes,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,26,paddleocr,0.6822,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,4,,u,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,26,paddleocr,0.6822,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,21,,m,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,30,paddleocr,0.5281,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,6,,m,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,30,paddleocr,0.5281,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,4,,M,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,30,paddleocr,0.5281,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,53,,C,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,31,paddleocr,0.6949,needs_review,,,
ชัยภูมิ,2,5_17_partylist,party_list,,,,54,,C,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,31,paddleocr,0.6949,needs_review,,,
ชัยภูมิ,2,5_18_partylist,party_list,,/เขต,,3,,ประชาธิปัตย์ เพื่อไทย,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr,0.8053,needs_review,,,
ชัยภูมิ,2,5_18_partylist,party_list,,/เขต,,5,,ภูมิใจไทย,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr,0.8053,needs_review,,,
ชัยภูมิ,2,5_18_partylist,party_list,,/เขต,,8,,เศรษฐกิจ,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr,0.8053,needs_review,,,
