field,observed_value,suggested_value,score,status,form_type,polling_station_no,choice_no,source_pdf,source_page
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,140.0,5,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,35
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,140.0,6,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,35
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,140.0,8,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,35
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,141.0,8,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,41
choice_name,Gyw,กวัสย์ หงษ์ไทย,0.0,no_confident_match,5_18,142.0,7,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,1
choice_name,UCกกNALSMLUELRELUEMBLS,ประเสริฐศักดิ์ จำหนัก,0.0952,no_confident_match,5_18,145.0,7,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,7
party_name,A Dr,กรีน,0.0,no_confident_match,5_18,145.0,7,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,7
choice_name,"""nenLe MenLe O MUCUISUEMOBLSONNLWWUOSUEMNENL (WUGEINCAMC) MWUELUWUOIUEMCMLC ด ซ A",วาสนา อยู่ภักดี,0.023,no_confident_match,5_18,145.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,7
party_name,PR R,กรีน,0.0,no_confident_match,5_18,145.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,7
choice_name,ENU/ER/ENL ซ a D D,กวัสย์ หงษ์ไทย,0.0,no_confident_match,5_18,146.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,9
party_name,A ดร A D G S uen Men,แผ่นดินธรรม,0.1667,no_confident_match,5_18,146.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,9
