priority,reason,suggested_action,row_index,province,form_type,vote_type,polling_station_no,choice_no,choice_name,party_name,votes,ballots_cast,valid_votes,invalid_votes,no_vote,ocr_confidence,validation_status,source_pdf,source_page
P0,missing_votes,Open source PDF page and type the vote value manually.,61,ชัยภูมิ,5_17_partylist,party_list,,29,,p C,,,,,,0.6409,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,22
P0,missing_votes,Open source PDF page and type the vote value manually.,64,ชัยภูมิ,5_17_partylist,party_list,,34,,C,,,,,,0.6409,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,22
P0,missing_votes,Open source PDF page and type the vote value manually.,65,ชัยภูมิ,5_17_partylist,party_list,,28,,-ous,,,,,,0.6822,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,26
P0,missing_votes,Open source PDF page and type the vote value manually.,66,ชัยภูมิ,5_17_partylist,party_list,,31,,yes,,,,,,0.6822,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,26
P0,missing_votes,Open source PDF page and type the vote value manually.,67,ชัยภูมิ,5_17_partylist,party_list,,2,,yes,,,,,,0.6822,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,26
P0,missing_votes,Open source PDF page and type the vote value manually.,68,ชัยภูมิ,5_17_partylist,party_list,,4,,u,,,,,,0.6822,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,26
P0,missing_votes,Open source PDF page and type the vote value manually.,69,ชัยภูมิ,5_17_partylist,party_list,,21,,m,,,,,,0.5281,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,30
P0,missing_votes,Open source PDF page and type the vote value manually.,70,ชัยภูมิ,5_17_partylist,party_list,,6,,m,,,,,,0.5281,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,30
P0,missing_votes,Open source PDF page and type the vote value manually.,71,ชัยภูมิ,5_17_partylist,party_list,,4,,M,,,,,,0.5281,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,30
P0,missing_votes,Open source PDF page and type the vote value manually.,72,ชัยภูมิ,5_17_partylist,party_list,,53,,C,,,,,,0.6949,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,31
